SCAN SUMMARY
"Target URL","Security Score","Endpoints Analyzed","Swagger URL","Scanned At"
"https://api.meramonitor.com/swagger/internal/swagger.json","0","789","https://api.meramonitor.com/swagger/internal/swagger.json","2026-08-17T14:28:42.2064507Z"

SEVERITY COUNTS
"Critical","High","Medium","Low"
"0","0","107","2"

VULNERABILITY FINDINGS
"Severity","Title","Source","Rule","CWE","OWASP","Method","Endpoint","Description","Evidence","Recommendation"
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Campaign/GetInsightTipCampaignDetailForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Campaign/GetInsightTipCampaignDetailForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Campaign/GetPopUpCampaignDetailForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Campaign/GetPopUpCampaignDetailForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Campaign/GetHtmlPopUpCampaignDetailForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Campaign/GetHtmlPopUpCampaignDetailForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Consent/GetUserConsentSummaryReport","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Consent/GetUserConsentSummaryReport","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/GetAzureBlobScreenShots/DeleteBlobScreenShotsByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/GetAzureBlobScreenShots/DeleteBlobScreenShotsByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/GetAzureBlobScreenShots/DeleteBlobScreenShotsByUserIdAndDate","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/GetAzureBlobScreenShots/DeleteBlobScreenShotsByUserIdAndDate","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Location/GetUserListByLocationId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Location/GetUserListByLocationId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/IsAuthorizedUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/IsAuthorizedUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/IsUserLoggedIn","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/IsUserLoggedIn","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/TokenValidity","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/TokenValidity","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/IsUserAuthorizedFromWindow","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/IsUserAuthorizedFromWindow","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/IsStealthUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/IsStealthUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/IsUserAuthorizedFromStealth","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/IsUserAuthorizedFromStealth","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Login/SendActivationMailToInActiveUsers","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Login/SendActivationMailToInActiveUsers","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/OnlinePayment/PaymentSummary","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/OnlinePayment/PaymentSummary","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/OrganizationTrialExtenstion/GetTrialPendingRequestForSuperAdmin","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/OrganizationTrialExtenstion/GetTrialPendingRequestForSuperAdmin","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/OrganizationTrialExtenstion/GetOrganizationTrialExtensionListForSuperAdmin","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/OrganizationTrialExtenstion/GetOrganizationTrialExtensionListForSuperAdmin","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/OverviewReport/OverviewReportForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/OverviewReport/OverviewReportForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PartnerOrgAssociation/GetOrgContractDocsForSuperAdmin","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PartnerOrgAssociation/GetOrgContractDocsForSuperAdmin","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PartnerPayment/GetAllPartnerCommisionPaymentByPartnerId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PartnerPayment/GetAllPartnerCommisionPaymentByPartnerId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PartnerPayment/GetPartnerCommisionPaymentDetailById","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PartnerPayment/GetPartnerCommisionPaymentDetailById","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PartnerPayment/GetAllPartnerCommisionPayment","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PartnerPayment/GetAllPartnerCommisionPayment","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetAllPayment","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetAllPayment","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetAllCurrentPayment","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetAllCurrentPayment","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetAllPaymentHistoryByOrgId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetAllPaymentHistoryByOrgId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetPaymentDetailsByPaymentId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetPaymentDetailsByPaymentId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetActivePlanByOrgId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetActivePlanByOrgId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetInactivePaidOrgDetail","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetInactivePaidOrgDetail","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Payment/GetOrganizationPaymentSummary","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Payment/GetOrganizationPaymentSummary","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PaymentInvoice/SendInvoice","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PaymentInvoice/SendInvoice","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PaymentInvoice/GenerateInvoice","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PaymentInvoice/GenerateInvoice","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PaymentInvoice/ReGenerateInvoice","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PaymentInvoice/ReGenerateInvoice","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Permission/GetUserPermissions","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Permission/GetUserPermissions","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PortalIntegrationApi/SyncPortalDataByUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PortalIntegrationApi/SyncPortalDataByUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PortalIntegrationApi/SyncRedmineUserByWindow","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PortalIntegrationApi/SyncRedmineUserByWindow","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PortalIntegrationApi/GetClientListForSuperAdmin","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PortalIntegrationApi/GetClientListForSuperAdmin","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/PortalIntegrationSyncHistory/GetAllPortalIntegrationSyncHistoryByOrgIdAndUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/PortalIntegrationSyncHistory/GetAllPortalIntegrationSyncHistoryByOrgIdAndUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Profile/GetUserProfileDetail","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Profile/GetUserProfileDetail","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetAllUserTask","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetAllUserTask","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetTaskDetailById","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetTaskDetailById","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetTaskListByProjectId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetTaskListByProjectId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetTaskListByUserIdAndProjectId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetTaskListByUserIdAndProjectId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetTaskListByExternalProjectId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetTaskListByExternalProjectId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/UserTask/GetTaskByExternalTaskId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/UserTask/GetTaskByExternalTaskId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Razorpaybilling/VerifySubscription/{paymentSessionId}","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Razorpaybilling/VerifySubscription/{paymentSessionId}","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/RecurringPayment/RazorPayRecurringPaymentNotification","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/RecurringPayment/RazorPayRecurringPaymentNotification","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUsersByOrganization","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUsersByOrganization","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUserListByOrganization","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUserListByOrganization","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUsersByID","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUsersByID","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUserEmailByProfileName","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUserEmailByProfileName","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUsersByDepartment","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUsersByDepartment","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllGroupAdmin","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllGroupAdmin","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetGroupAdminById","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetGroupAdminById","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetActiveInactiveUsersByOrgID","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetActiveInactiveUsersByOrgID","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUsersByDepartmentId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUsersByDepartmentId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUserByUserID","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUserByUserID","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUsersWithoutDepartment","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUsersWithoutDepartment","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUserRoleDetail","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUserRoleDetail","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetUserProfileImageUrl","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetUserProfileImageUrl","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/DownloadOrganizationUsersReport","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/DownloadOrganizationUsersReport","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/DownloadOrganizationUsersReportforModification","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/DownloadOrganizationUsersReportforModification","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUserDetails","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUserDetails","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Registration/GetAllUserAppVersion","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Registration/GetAllUserAppVersion","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Reporting/DailyAbsentUsersReport","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Reporting/DailyAbsentUsersReport","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Reporting/DailyTimeClaimResponseStatusReportForUser","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Reporting/DailyTimeClaimResponseStatusReportForUser","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Reporting/DailyOrganizationActiveUserCount","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Reporting/DailyOrganizationActiveUserCount","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Reporting/DailyActivatedUserWithNoData","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Reporting/DailyActivatedUserWithNoData","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/Reporting/DailyOrganizationsInActiveUserList","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/Reporting/DailyOrganizationsInActiveUserList","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/ReportManagerAssignment/GetAssignedMembersByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/ReportManagerAssignment/GetAssignedMembersByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/ReportManagerAssignment/GetAllAssignedDepartmentsByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/ReportManagerAssignment/GetAllAssignedDepartmentsByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/ReportManagerAssignment/GetUnassignedMembersByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/ReportManagerAssignment/GetUnassignedMembersByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/ReportManagerAssignment/GetAllUnassignedDepartmentByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/ReportManagerAssignment/GetAllUnassignedDepartmentByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/ReportManagerAssignment/GetAllMembersByUserId","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/ReportManagerAssignment/GetAllMembersByUserId","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/SuperAdminDashboard/GetMMDashboardCardsData","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/SuperAdminDashboard/GetMMDashboardCardsData","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
"Medium","Sensitive GET Endpoint","Swagger","API004","CWE-200","A01:2021 Broken Access Control","GET","/api/v1/SuperAdminDashboard/GetOrgSubscriptionStatus","The endpoint name suggests sensitive data may be returned through GET.","GET /api/v1/SuperAdminDashboard/GetOrgSubscriptionStatus","Review authorization, response data, caching, and whether sensitive input is exposed in query strings."
